评论者,时间,评分,内容
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
彳亍,2020-12-25,力荐,期待已久，2保持了1的水准，看得很开心
satoc,2020-12-25,力荐,虽然没有像第一部把我们俩笑到椅子下面去，但仍然是让人开怀大笑的佳作
慢慢爬的蜗牛,2020-12-25,力荐,政治正确 还是很搞笑的
奔跑的五花肉,2020-12-25,推荐,音乐不错
高凯,2020-12-25,推荐,我感觉这种吸引不了我了
梦缠绕的时候,2020-12-25,还行,剧情冲突设定的很无趣。
桀骜,2020-12-25,推荐,推荐
啦啦啦,2020-12-25,力荐,好看真好看
松茸,2020-12-25,力荐,一家人一起看的，温馨又搞笑，两岁八个月的儿子对着电影哈哈哈大笑，那一刻觉得世间真好！
果子,2020-12-25,推荐,"看完我只觉得很心酸。
替编剧感到心酸。

梦工厂要变成迪士尼，结尾不仅需要合家欢，还要充斥当代所有的政治正确，而你还要把这个故事讲圆。唉。太难了。"
我已不在地坛,2020-12-25,推荐,或许因为严峻的现实压力，又或许因为太多次票房失利，梦工厂早已不是也不能继续当十几年前那个反主流、反传统、反一切老黄历的青少年反叛精神的代表了。想象力不是根本，反讽也只能当成佐料，淡化主题，迎合主流价值的多元化拼接不失为一种巧妙处理，借助动画的外壳但在缺乏主要矛盾的时候，终究还是缺乏力量。不过在这样一个荒诞年代，圆滑未必是一件坏事，尤其是在面对强硬的议题时。
傲炳,2020-12-25,推荐,还可以
兜兜®,2020-12-25,推荐,笑死我了，狗蛛太萌了！
古月小杰诶,2020-12-25,还行,蠢
卡巴科夫,2020-12-25,还行,情节比较套路，整体结构有些套路且仓促。可能是有第一部珠玉在前，感觉这部并不精彩。
ROSE,2020-12-25,推荐,thunder sisters！！！
钟鼓楼,2020-12-25,推荐,大圆满式结局
木头人†,2020-12-25,力荐,在我看来一部好看的动画，只要有天马行空的想象力，流畅优美的画质，结构紧凑的剧情，至于能不能从中获取什么人生大道理，又有什么意义呢，笑就完事了。
寂寞的枕头,2020-12-25,推荐,一部动画探讨了家庭和个人，亲情和爱情，还描绘了原始和文明意识形态的冲突，过程通俗易懂还妙趣横生，太优秀了！
Onism,2020-12-25,推荐,全程脑补尼古拉斯凯奇和小恶魔的声音
